"ID","GeneID","geneSymbol","chr","strand","exonStart_0base","exonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference"
30974,"ENSG00000127419.17","TMEM175","chr4","+",951681,951717,951206,951258,953189,953303,30974,"7,18,7","4,0,8","19,28,11","0,0,0",185,149,2.01598927307e-06,0.000339508962728658,"0.585,1.0,0.413","1.0,1.0,1.0",-0.334
88453,"ENSG00000248235.6","ENSG00000248235","chr8","+",22593732,22593832,22589595,22589741,22600881,22600966,88453,"13,16,24","2,2,6","14,20,12","0,0,0",249,149,2.04622531619e-06,0.000343866201056535,"0.795,0.827,0.705","1.0,1.0,1.0",-0.224
6540,"ENSG00000090006.18","LTBP4","chr19","+",40599401,40599556,40599196,40599255,40600067,40600177,6540,"62,142,60","6,0,0","109,103,77","20,11,8",304,149,2.06795452906e-06,0.000346767332141817,"0.835,1.0,1.0","0.728,0.821,0.825",0.154
69783,"ENSG00000171202.7","TMEM126A","chr11","+",85650311,85650341,85648020,85648089,85654062,85654256,69783,"52,43,53","1,0,0","30,25,20","0,7,6",179,149,2.07228844051e-06,0.000346767332141817,"0.977,1.0,1.0","1.0,0.748,0.735",0.165
14504,"ENSG00000261609.8","GAN","chr16","+",81351582,81351697,81314961,81315280,81354404,81354755,14504,"70,76,73","0,0,0","56,58,59","3,10,1",264,149,2.11665590411e-06,0.000353441176022097,"1.0,1.0,1.0","0.913,0.766,0.971",0.117
17010,"ENSG00000167978.19","SRRM2","chr16","+",2756333,2756606,2752637,2752846,2757471,2757574,17010,"1076,1260,1425","96,132,166","1137,1281,1066","173,231,197",422,149,2.13477821098e-06,0.000353553738636593,"0.798,0.771,0.752","0.699,0.662,0.656",0.101
73001,"ENSG00000198231.14","DDX42","chr17","+",63799479,63799523,63798037,63798099,63800467,63800617,73001,"4,0,12","14,12,19","0,0,0","12,15,13",193,149,2.13527348336e-06,0.000353553738636593,"0.181,0.0,0.328","0.0,0.0,0.0",0.17
64153,"ENSG00000115459.18","ELMOD3","chr2","+",85355554,85355716,85354725,85354829,85356966,85357252,64153,"14,7,9","5,5,0","3,9,5","0,0,0",311,149,2.15009440552e-06,0.000354518181111002,"0.573,0.401,1.0","1.0,1.0,1.0",-0.342
104241,"ENSG00000118369.13","USP35","chr11","+",78196235,78196918,78188918,78189157,78197935,78198068,104241,"33,50,67","0,0,0","79,32,24","7,3,0",832,149,2.16541784448e-06,0.00035555709877644,"1.0,1.0,1.0","0.669,0.656,1.0",0.225
59312,"ENSG00000127586.17","CHTF18","chr16","+",792438,792590,790524,792367,792965,793006,59312,"8,1,8","0,0,0","0,3,2","2,6,0",301,149,2.1718262404e-06,0.000355867952468037,"1.0,1.0,1.0","0.0,0.198,1.0",0.601
72842,"ENSG00000100867.15","DHRS2","chr14","+",23639178,23639356,23636363,23636772,23643151,23643219,72842,"25,31,54","0,0,1","29,50,42","7,8,1",327,149,2.21094195496e-06,0.000360777205341972,"1.0,1.0,0.961","0.654,0.74,0.95",0.206
52191,"ENSG00000198919.13","DZIP3","chr3","+",108605334,108605438,108590054,108590096,108608088,108608158,52191,"29,26,45","0,1,0","15,29,13","0,10,4",253,149,2.23124568133e-06,0.000361842856736675,"1.0,0.939,1.0","1.0,0.631,0.657",0.217
65122,"ENSG00000178440.9","TIMM23B-AGAP6","chr10","+",49981188,49981281,49972834,49973142,49987164,49987234,65122,"0,0,0","4,6,4","11,5,0","1,1,3",242,149,2.22982671727e-06,0.000361842856736675,"0.0,0.0,0.0","0.871,0.755,0.0",-0.542
1489,"ENSG00000290746.1","CA5BP1","chrX","+",15692962,15693058,15688660,15688858,15702781,15703349,1489,"45,54,39","3,0,0","46,38,43","20,10,1",245,149,2.25483435023e-06,0.000363618901876891,"0.901,1.0,1.0","0.583,0.698,0.963",0.219
40178,"ENSG00000177479.20","ARIH2","chr3","+",48945135,48945181,48918820,48918998,48961611,48961679,40178,"17,8,2","0,0,1","2,10,8","5,18,1",195,149,2.25583508273e-06,0.000363618901876891,"1.0,1.0,0.604","0.234,0.298,0.859",0.404
33323,"ENSG00000075420.13","FNDC3B","chr3","+",172184244,172184383,172133470,172133546,172186711,172187218,33323,"0,0,1","10,4,5","2,4,12","8,4,5",288,149,2.33643285763e-06,0.000373521208263912,"0.0,0.0,0.094","0.115,0.341,0.554",-0.305
40653,"ENSG00000161267.12","BDH1","chr3","-",197524834,197527251,197522639,197522781,197527886,197527987,40653,"8,12,14","2,7,1","14,25,16","1,0,0",2566,149,2.35196915743e-06,0.000374485755844132,"0.188,0.091,0.448","0.448,1.0,1.0",-0.574
18152,"ENSG00000140400.18","MAN2C1","chr15","-",75362641,75362748,75362342,75362453,75364487,75364665,18152,"19,18,20","2,12,1","15,14,8","0,0,0",256,149,2.38147136944e-06,0.000378418681416156,"0.847,0.466,0.921","1.0,1.0,1.0",-0.255
8025,"ENSG00000197256.11","KANK2","chr19","-",11195621,11195820,11194474,11194590,11197484,11197545,8025,"78,79,119","0,0,0","123,95,64","3,15,0",348,149,2.41447070115e-06,0.000382121502632806,"1.0,1.0,1.0","0.946,0.731,1.0",0.108
39920,"ENSG00000197885.11","NKIRAS1","chr3","-",23911328,23911446,23910810,23910921,23916783,23916969,39920,"55,30,65","10,5,3","57,58,42","0,2,0",267,149,2.41127731726e-06,0.000382121502632806,"0.754,0.77,0.924","1.0,0.942,1.0",-0.165
67035,"ENSG00000237978.6","KCNMB2-AS1","chr3","-",178841544,178841616,178801792,178801934,178859488,178859550,67035,"10,0,12","13,5,0","4,1,2","0,0,0",221,149,2.45227386875e-06,0.000387326583097257,"0.342,0.0,1.0","1.0,1.0,1.0",-0.553
15914,"ENSG00000149927.18","DOC2A","chr16","-",30013466,30013596,30010902,30010989,30021182,30021295,15914,"27,32,34","8,5,0","23,33,30","0,0,0",279,149,2.47041537094e-06,0.000388634306308655,"0.643,0.774,1.0","1.0,1.0,1.0",-0.194
72951,"ENSG00000070759.17","TESK2","chr1","-",45346692,45346779,45345876,45345994,45346978,45347062,72951,"30,40,19","0,0,1","23,48,28","4,7,4",236,149,2.52993300931e-06,0.000394844891344094,"1.0,1.0,0.923","0.784,0.812,0.815",0.171
24274,"ENSG00000102471.16","NDFIP2","chr13","+",79541863,79543682,79539681,79539775,79548327,79548394,24274,"207,247,242","5,2,5","131,185,129","0,0,0",1968,149,2.60227560378e-06,0.000402943716526367,"0.758,0.903,0.786","1.0,1.0,1.0",-0.184
93359,"ENSG00000291092.1","PMS2P3","chr7","-",75525904,75526007,75516093,75516220,75527564,75528088,93359,"12,5,9","0,0,0","8,7,14","5,5,0",252,149,2.63269112633e-06,0.000406854021807253,"1.0,1.0,1.0","0.486,0.453,1.0",0.354
106154,"ENSG00000178078.12","STAP2","chr19","-",4324454,4324667,4324042,4324197,4325215,4325308,106154,"13,15,26","0,0,0","12,12,4","2,3,2",362,149,2.65177774883e-06,0.000409001689381676,"1.0,1.0,1.0","0.712,0.622,0.452",0.405
6050,"ENSG00000142230.13","SAE1","chr19","+",47197232,47197377,47180145,47180303,47209158,47210190,6050,"3,7,14","0,0,0","5,17,10","3,0,10",294,149,2.68442144657e-06,0.000412422370977416,"1.0,1.0,1.0","0.458,1.0,0.336",0.402
108832,"ENSG00000111596.14","CNOT2","chr12","+",70297758,70297879,70294236,70294294,70310894,70311017,108832,"7,5,0","7,4,3","0,0,0","10,4,3",270,149,2.6833288822e-06,0.000412422370977416,"0.356,0.408,0.0","0.0,0.0,0.0",0.255
59723,"ENSG00000149257.16","SERPINH1","chr11","+",75563726,75563770,75562345,75562378,75566315,75566959,59723,"5,13,6","6,0,5","17,4,6","0,0,0",193,149,2.73580394716e-06,0.000418684248728962,"0.391,1.0,0.481","1.0,1.0,1.0",-0.376
77272,"ENSG00000225096.3","ENSG00000225096","chr6","+",57965516,57965743,57962177,57962248,57971594,57971656,77272,"0,0,2","3,1,0","1,2,1","0,0,0",376,149,2.73438742793e-06,0.000418684248728962,"0.0,0.0,1.0","1.0,1.0,1.0",-0.667
17038,"ENSG00000260565.9","ERVK13-1","chr16","-",2671344,2672570,2661225,2663407,2673282,2673398,17038,"18,39,24","1,0,0","7,28,21","5,3,1",1375,149,2.77262605841e-06,0.000419432865246803,"0.661,1.0,1.0","0.132,0.503,0.695",0.444
61614,"ENSG00000164120.14","HPGD","chr4","-",174493150,174493314,174490174,174492094,174495547,174495624,61614,"5,0,10","0,6,4","4,1,10","0,0,0",313,149,2.75420286122e-06,0.000419432865246803,"1.0,0.0,0.543","1.0,1.0,1.0",-0.486
66956,"ENSG00000255248.11","MIR100HG","chr11","-",122155550,122155632,122089219,122091740,122180335,122180398,66956,"64,78,114","5,13,0","85,68,52","0,0,0",231,149,2.76932369403e-06,0.000419432865246803,"0.892,0.795,1.0","1.0,1.0,1.0",-0.104
92277,"ENSG00000147799.12","ARHGAP39","chr8","-",144537720,144537813,144534128,144534202,144545248,144545810,92277,"85,103,101","0,0,4","88,109,106","14,4,9",242,149,2.76929702303e-06,0.000419432865246803,"1.0,1.0,0.94","0.795,0.944,0.879",0.107
84305,"ENSG00000008277.15","ADAM22","chr7","+",88193115,88193239,88181957,88182024,88196470,88196582,84305,"37,60,22","4,5,5","13,35,13","0,0,0",273,149,2.78486218275e-06,0.000420476844700079,"0.835,0.868,0.706","1.0,1.0,1.0",-0.197
106075,"ENSG00000185215.11","TNFAIP2","chr14","+",103124374,103124506,103123460,103123483,103126309,103126575,106075,"6,22,7","33,43,26","2,5,4","43,91,31",281,149,2.83304062709e-06,0.00042611850577118,"0.088,0.213,0.125","0.024,0.028,0.064",0.103
17139,"ENSG00000008710.20","PKD1","chr16","-",2092953,2093093,2092479,2092592,2093543,2093738,17139,"88,73,84","7,2,9","42,61,59","14,18,14",289,149,2.87164598556e-06,0.000429382058990735,"0.866,0.95,0.828","0.607,0.636,0.685",0.239
48878,"ENSG00000065060.18","BLTP3A","chr6","+",34855616,34855703,34836155,34836348,34856238,34856409,48878,"46,72,48","4,11,0","70,52,43","0,0,0",236,149,2.87653019282e-06,0.000429382058990735,"0.879,0.805,1.0","1.0,1.0,1.0",-0.105
70646,"ENSG00000152705.8","CATSPER3","chr5","+",135008840,135008981,134996272,134996512,135009370,135009490,70646,"1,3,3","0,2,6","2,7,11","0,0,0",290,149,2.87586112191e-06,0.000429382058990735,"1.0,0.435,0.204","1.0,1.0,1.0",-0.454
38796,"ENSG00000076685.19","NT5C2","chr10","-",103181184,103181328,103174857,103174982,103187124,103187246,38796,"35,33,14","3,11,0","22,37,20","0,0,0",293,149,2.98715071956e-06,0.000444211856532305,"0.856,0.604,1.0","1.0,1.0,1.0",-0.18
49082,"ENSG00000162591.17","MEGF6","chr1","-",3492638,3492767,3490911,3490959,3493770,3493797,49082,"16,35,74","1,0,0","19,19,19","0,10,4",278,149,3.00397424158e-06,0.000445872372599111,"0.896,1.0,1.0","1.0,0.505,0.718",0.224
91958,"ENSG00000104529.19","EEF1D","chr8","-",143592714,143592893,143586728,143586852,143593874,143594071,91958,"27,40,27","2,1,0","35,25,24","6,10,5",328,149,3.03895800802e-06,0.000449372374112751,"0.86,0.948,1.0","0.726,0.532,0.686",0.288
76805,"ENSG00000077157.23","PPP1R12B","chr1","+",202501858,202502005,202496818,202496822,202558876,202558893,76805,"5,10,6","15,23,7","2,0,0","10,24,6",296,149,3.05834455372e-06,0.000451392183523299,"0.144,0.18,0.301","0.091,0.0,0.0",0.178
110341,"ENSG00000111554.15","MDM1","chr12","-",68321346,68321446,68314947,68315265,68321524,68321628,110341,"17,40,18","1,14,1","15,13,9","0,0,0",249,149,3.11995058355e-06,0.000458766614258383,"0.91,0.631,0.915","1.0,1.0,1.0",-0.181
99343,"ENSG00000059122.17","FLYWCH1","chr16","+",2928823,2928917,2915407,2915476,2929612,2929916,99343,"1,8,14","0,0,0","3,8,1","4,4,0",243,149,3.17920518156e-06,0.000465741740491917,"1.0,1.0,1.0","0.315,0.551,1.0",0.378
66863,"ENSG00000179046.9","TRIML2","chr4","-",188098204,188098279,188097323,188097346,188099034,188099175,66863,"1,2,0","29,44,21","4,6,9","31,18,22",224,149,3.19240936741e-06,0.000465943970911887,"0.022,0.029,0.0","0.079,0.181,0.214",-0.141
98004,"ENSG00000197444.10","OGDHL","chr10","-",49745797,49745977,49745343,49745496,49746749,49746878,98004,"80,77,102","2,2,13","61,141,62","0,1,0",329,149,3.18655819498e-06,0.000465943970911887,"0.948,0.946,0.78","1.0,0.985,1.0",-0.104
6730,"ENSG00000182472.9","CAPN12","chr19","-",38733702,38733781,38731106,38731223,38734812,38734870,6730,"20,28,8","7,0,9","8,9,14","0,0,0",228,149,3.20215520788e-06,0.000466281343133727,"0.651,1.0,0.367","1.0,1.0,1.0",-0.327
99782,"ENSG00000107862.7","GBF1","chr10","+",102368818,102368832,102368217,102368454,102369210,102369387,99782,"6,17,13","2,1,0","8,13,6","7,12,3",163,149,3.28882383727e-06,0.000474741118561236,"0.733,0.94,1.0","0.511,0.498,0.646",0.339
103424,"ENSG00000172508.11","CARNS1","chr11","+",67418755,67419243,67415677,67415763,67419486,67419661,103424,"13,6,4","0,0,0","15,14,3","3,4,0",637,149,3.28706132391e-06,0.000474741118561236,"1.0,1.0,1.0","0.539,0.45,1.0",0.337
32938,"ENSG00000177034.18","MTX3","chr5","-",79990593,79990663,79990159,79990236,79991157,79991259,32938,"76,126,49","3,3,0","67,118,59","7,15,9",219,149,3.39007328987e-06,0.000487570486023913,"0.945,0.966,1.0","0.867,0.843,0.817",0.128
34351,"ENSG00000114120.14","SLC25A36","chr3","+",140966999,140967036,140966347,140966434,140970926,140970993,34351,"1,12,4","5,10,10","0,0,1","12,7,5",186,149,3.38688826973e-06,0.000487570486023913,"0.138,0.49,0.243","0.0,0.0,0.138",0.244
41151,"ENSG00000081791.9","DELE1","chr5","+",141938520,141938760,141934493,141934586,141939553,141940120,41151,"73,78,121","1,3,10","79,100,95","0,0,0",389,149,3.41833110507e-06,0.000490739100266106,"0.965,0.909,0.823","1.0,1.0,1.0",-0.101
14924,"ENSG00000196696.14","PDXDC2P-NPIPB14P","chr16","-",69992910,69993248,69990596,69990683,69996068,69996226,14924,"15,5,21","2,3,2","11,27,16","0,0,0",487,149,3.47756720576e-06,0.000495613377825165,"0.696,0.338,0.763","1.0,1.0,1.0",-0.401
15385,"ENSG00000172775.18","PSME3IP1","chr16","-",57174168,57174286,57173727,57173869,57186030,57186116,15385,"12,10,2","0,26,0","0,3,5","30,56,30",267,149,3.47368526754e-06,0.000495613377825165,"1.0,0.177,1.0","0.0,0.029,0.085",0.688
66123,"ENSG00000135541.22","AHI1","chr6","-",135315901,135316040,135302711,135302817,135318518,135318616,66123,"5,1,9","3,5,13","0,0,0","2,3,1",288,149,3.48614230727e-06,0.000495613377825165,"0.463,0.094,0.264","0.0,0.0,0.0",0.274
68184,"ENSG00000206530.11","CFAP44","chr3","-",113401583,113401739,113401239,113401287,113403851,113404016,68184,"10,10,11","6,0,3","3,15,22","0,0,0",305,149,3.49001363564e-06,0.000495613377825165,"0.449,1.0,0.642","1.0,1.0,1.0",-0.303
98852,"ENSG00000078304.20","PPP2R5C","chr14","+",101818991,101819085,101786120,101786183,101836168,101836701,98852,"2,1,0","1,8,15","9,3,0","0,0,1",243,149,3.48160671071e-06,0.000495613377825165,"0.551,0.071,0.0","1.0,1.0,0.0",-0.459
72265,"ENSG00000174483.20","BBS1","chr11","+",66523171,66523365,66521269,66521376,66523455,66523531,72265,"2,0,0","23,34,19","4,7,8","29,25,9",343,149,3.50083930634e-06,0.00049625656462084,"0.036,0.0,0.0","0.057,0.108,0.279",-0.136
35455,"ENSG00000153975.10","ZUP1","chr6","-",116651571,116651737,116647458,116647610,116652003,116652192,35455,"98,85,86","2,12,3","75,53,53","0,0,0",315,149,3.51817023048e-06,0.000497817929470882,"0.959,0.77,0.931","1.0,1.0,1.0",-0.113
26116,"ENSG00000123219.13","CENPK","chr5","-",65528918,65529017,65528451,65528578,65529116,65529199,26116,"114,129,81","1,4,17","100,112,63","1,0,0",248,149,3.55808887409e-06,0.000501665070861187,"0.986,0.951,0.741","0.984,1.0,1.0",-0.102
92805,"ENSG00000176261.16","ZBTB8OS","chr1","-",32633950,32634072,32620819,32621948,32650401,32650525,92805,"8,2,6","0,0,0","6,2,3","3,0,5",271,149,3.59321360333e-06,0.000505712732404382,"1.0,1.0,1.0","0.524,1.0,0.248",0.409
2980,"ENSG00000177663.15","IL17RA","chr22","+",17105852,17105954,17105590,17105602,17107726,17107768,2980,"96,80,62","5,5,1","59,86,92","14,51,10",251,149,3.60203358984e-06,0.000506050405317718,"0.919,0.905,0.974","0.714,0.5,0.845",0.246
47948,"ENSG00000126016.17","AMOT","chrX","-",112822254,112823188,112815357,112815877,112832293,112832370,47948,"66,120,78","4,0,0","64,68,47","7,10,6",1083,149,3.61437999796e-06,0.000506881422667647,"0.694,1.0,1.0","0.557,0.483,0.519",0.378
15390,"ENSG00000172775.18","PSME3IP1","chr16","-",57174619,57174688,57173727,57173869,57186030,57186116,15390,"15,19,10","0,26,0","4,8,17","30,56,30",218,149,3.64933451702e-06,0.000509071015955156,"1.0,0.333,1.0","0.084,0.089,0.279",0.627
93072,"ENSG00000122359.18","ANXA11","chr10","-",80172806,80172869,80164052,80164143,80205342,80205572,93072,"11,19,16","0,0,0","45,33,33","0,16,6",212,149,3.63908299861e-06,0.000509071015955156,"1.0,1.0,1.0","1.0,0.592,0.794",0.205
100754,"ENSG00000053918.20","KCNQ1","chr11","+",2571159,2571403,2570627,2570754,2572012,2572109,100754,"13,22,21","6,2,1","3,13,21","0,0,0",393,149,3.64937034847e-06,0.000509071015955156,"0.451,0.807,0.888","1.0,1.0,1.0",-0.285
77893,"ENSG00000185507.21","IRF7","chr11","-",614173,614399,613950,614037,614475,614534,77893,"106,141,109","3,20,32","131,263,160","0,8,4",375,149,3.67154170122e-06,0.000510357247233958,"0.934,0.737,0.575","1.0,0.929,0.941",-0.208
110944,"ENSG00000187676.8","B3GLCT","chr13","+",31274508,31274628,31269213,31269277,31276701,31276771,110944,"50,28,34","0,10,8","30,41,27","1,0,0",269,149,3.7083419927e-06,0.000514565095342694,"1.0,0.608,0.702","0.943,1.0,1.0",-0.211
68404,"ENSG00000115970.19","THADA","chr2","-",43279764,43279896,43232712,43232882,43286907,43287061,68404,"42,89,81","0,0,0","73,81,39","0,10,4",281,149,3.82538907495e-06,0.000527094475423399,"1.0,1.0,1.0","1.0,0.811,0.838",0.117
63828,"ENSG00000172113.10","NME6","chr3","-",48300430,48300634,48298426,48298523,48301278,48301305,63828,"0,2,3","5,13,23","11,5,8","7,8,8",353,149,3.84508180218e-06,0.000528239064227905,"0.0,0.061,0.052","0.399,0.209,0.297",-0.264
90800,"ENSG00000153558.17","FBXL2","chr3","+",33297868,33297962,33297663,33297725,33373091,33373160,90800,"1,3,1","1,6,1","3,2,2","0,1,0",243,149,3.84710046142e-06,0.000528239064227905,"0.38,0.235,0.38","1.0,0.551,1.0",-0.519
20973,"ENSG00000133943.21","DGLUCY","chr14","+",91145220,91145313,91060332,91060704,91157638,91157690,20973,"4,11,9","6,1,6","9,5,18","0,1,0",242,149,3.9332536621e-06,0.000537260636704353,"0.291,0.871,0.48","1.0,0.755,1.0",-0.371
13264,"ENSG00000006740.18","ARHGAP44","chr17","+",12974088,12974310,12958716,12958897,12990031,12990584,13264,"19,32,32","0,4,6","37,48,22","0,0,0",371,149,3.95934375375e-06,0.00053930475660114,"1.0,0.763,0.682","1.0,1.0,1.0",-0.185
47692,"ENSG00000087470.21","DNM1L","chr12","+",32737864,32738053,32737104,32737161,32738263,32738296,47692,"34,37,25","81,63,54","9,17,8","85,63,48",338,149,3.96190387708e-06,0.00053930475660114,"0.156,0.206,0.169","0.045,0.106,0.068",0.104
64151,"ENSG00000115459.18","ELMOD3","chr2","+",85355554,85355598,85354719,85354829,85356966,85357252,64151,"10,16,4","5,5,0","7,5,3","0,0,0",193,149,4.00462576344e-06,0.000544180309561248,"0.607,0.712,1.0","1.0,1.0,1.0",-0.227
89923,"ENSG00000168297.16","PXK","chr3","+",58420535,58420568,58412900,58412963,58424751,58425175,89923,"6,7,3","20,31,26","0,1,0","25,15,28",182,149,4.05299632222e-06,0.000549805344467761,"0.197,0.156,0.086","0.0,0.052,0.0",0.129
92853,"ENSG00000257923.12","CUX1","chr7","+",102198801,102198867,102196633,102197305,102200070,102200172,92853,"44,46,35","0,0,0","19,35,32","0,9,3",215,149,4.07463511576e-06,0.000551791007987327,"1.0,1.0,1.0","1.0,0.729,0.881",0.13
69270,"ENSG00000150782.12","IL18","chr11","-",112154974,112155082,112148602,112148736,112163905,112164089,69270,"16,10,14","5,1,6","10,18,14","0,0,1",257,149,4.11681804624e-06,0.00055559420259316,"0.65,0.853,0.575","1.0,1.0,0.89",-0.271
75358,"ENSG00000288721.1","ENSG00000288721","chr6","-",41891793,41891875,41871563,41871637,41907015,41907287,75358,"8,0,5","2,4,7","3,3,5","1,0,0",231,149,4.17919722773e-06,0.000563048597441949,"0.721,0.0,0.315","0.659,1.0,1.0",-0.541
44555,"ENSG00000211584.14","SLC48A1","chr12","+",47772169,47772320,47755701,47755912,47779027,47779111,44555,"14,5,4","0,6,3","9,6,12","0,0,0",300,149,4.29938171775e-06,0.000576110873378519,"1.0,0.293,0.398","1.0,1.0,1.0",-0.436
97938,"ENSG00000128805.15","ARHGAP22","chr10","-",48479635,48479764,48455001,48455134,48524052,48524236,97938,"7,7,10","3,6,0","10,5,10","0,0,0",278,149,4.36195878761e-06,0.000582691155670309,"0.556,0.385,1.0","1.0,1.0,1.0",-0.353
60966,"ENSG00000182718.18","ANXA2","chr15","-",60396279,60396427,60390212,60390317,60397257,60397338,60966,"99,98,97","6,0,0","93,172,133","18,17,7",297,149,4.41471817181e-06,0.000587746643093252,"0.892,1.0,1.0","0.722,0.835,0.905",0.143
24469,"ENSG00000164620.9","RELL2","chr5","+",141638954,141639021,141638794,141638860,141639463,141639629,24469,"71,116,65","2,3,3","64,96,57","10,14,9",216,149,4.48952378251e-06,0.000595693294475632,"0.961,0.964,0.937","0.815,0.825,0.814",0.136
6557,"ENSG00000090006.18","LTBP4","chr19","+",40617099,40617225,40616888,40617020,40619346,40619376,6557,"163,149,211","2,3,10","175,189,170","9,26,20",275,149,4.49970142447e-06,0.000596040281965719,"0.978,0.964,0.92","0.913,0.798,0.822",0.11
82085,"ENSG00000145390.12","USP53","chr4","+",119260506,119260653,119256440,119256523,119261714,119261864,82085,"27,25,13","5,3,4","25,15,22","1,0,0",296,149,4.55872308114e-06,0.000602845234295384,"0.731,0.808,0.621","0.926,1.0,1.0",-0.255
12334,"ENSG00000108306.13","FBXL20","chr17","-",39301000,39301075,39298989,39299084,39303584,39303639,12334,"40,44,57","0,0,0","39,30,49","0,3,10",224,149,4.62141168789e-06,0.00061011149444062,"1.0,1.0,1.0","1.0,0.869,0.765",0.122
69959,"ENSG00000078177.15","N4BP2","chr4","+",40117868,40118024,40113431,40113508,40119931,40122309,69959,"21,23,7","1,5,3","4,17,11","0,0,0",305,149,4.65676648609e-06,0.000613401418877262,"0.911,0.692,0.533","1.0,1.0,1.0",-0.288
89096,"ENSG00000291049.1","FAM86B3P","chr8","+",8230842,8230905,8228599,8228797,8232793,8232874,89096,"16,15,3","0,0,0","26,23,7","8,0,6",212,149,4.66189748027e-06,0.000613401418877262,"1.0,1.0,1.0","0.696,1.0,0.451",0.284
9936,"ENSG00000101574.15","METTL4","chr18","-",2544194,2544286,2537529,2539145,2544652,2544759,9936,"44,35,19","1,0,0","20,23,20","5,5,1",241,149,4.69330293229e-06,0.000616504451014061,"0.965,1.0,1.0","0.712,0.74,0.925",0.196
86861,"ENSG00000188493.15","ACTMAP","chr19","-",40741693,40741864,40740855,40741439,40743914,40743975,86861,"16,14,6","6,0,3","17,16,10","0,0,0",320,149,4.83267512474e-06,0.000628526881116144,"0.554,1.0,0.482","1.0,1.0,1.0",-0.321
106910,"ENSG00000110888.19","CAPRIN2","chr12","-",30753343,30753559,30751070,30751133,30754750,30754888,106910,"52,53,52","2,4,6","45,34,40","0,0,0",365,149,4.97548621814e-06,0.000644971951122869,"0.914,0.844,0.78","1.0,1.0,1.0",-0.154
36701,"ENSG00000107890.17","ANKRD26","chr10","-",27005622,27005723,26995040,26995147,27006916,27006962,36701,"2,2,3","2,7,0","6,5,4","0,0,0",250,149,5.01721219526e-06,0.000647187527282188,"0.373,0.146,1.0","1.0,1.0,1.0",-0.494
71738,"ENSG00000251141.6","MRPS30-DT","chr5","-",44786825,44786952,44777908,44777992,44808641,44808726,71738,"14,1,5","2,4,4","10,6,6","0,1,0",276,149,5.00315988894e-06,0.000647187527282188,"0.791,0.119,0.403","1.0,0.764,1.0",-0.484
81994,"ENSG00000106052.14","TAX1BP1","chr7","+",27816348,27816394,27799964,27800090,27827737,27827820,81994,"158,136,148","42,26,25","74,100,98","7,5,7",195,149,5.01506153894e-06,0.000647187527282188,"0.742,0.8,0.819","0.89,0.939,0.915",-0.128
77194,"ENSG00000235899.4","LINC01564","chr6","+",53624599,53624714,53616713,53616800,53628574,53628691,77194,"8,1,4","3,0,0","0,0,1","5,1,0",264,149,5.09464195741e-06,0.000653224998117116,"0.601,1.0,1.0","0.0,0.0,1.0",0.534
12680,"ENSG00000264538.8","SUZ12P1","chr17","+",30759490,30759539,30731885,30732123,30766502,30766588,12680,"9,7,12","1,4,3","11,15,15","0,0,0",198,149,5.11735059183e-06,0.000654584440117096,"0.871,0.568,0.751","1.0,1.0,1.0",-0.27
55512,"ENSG00000184465.16","WDR27","chr6","-",169689126,169689308,169688816,169689012,169701550,169701930,55512,"21,45,34","5,9,1","37,32,10","1,0,0",331,149,5.19634942775e-06,0.000657429058555794,"0.654,0.692,0.939","0.943,1.0,1.0",-0.219
67504,"ENSG00000007341.19","ST7L","chr1","-",112550600,112550693,112541789,112542090,112555867,112556018,67504,"15,17,7","2,2,1","1,8,7","8,9,5",242,149,5.19670498611e-06,0.000657429058555794,"0.822,0.84,0.812","0.071,0.354,0.463",0.529
109595,"ENSG00000140386.13","SCAPER","chr15","-",76862415,76862533,76857808,76857879,76883811,76883876,109595,"29,36,13","0,0,0","26,18,18","5,5,0",267,149,5.22676065817e-06,0.000660171700759084,"1.0,1.0,1.0","0.744,0.668,1.0",0.196
35336,"ENSG00000218510.9","LINC00339","chr1","+",22027413,22027534,22025492,22025945,22030279,22030374,35336,"4,10,10","0,0,0","7,3,3","3,5,0",270,149,5.32296869094e-06,0.000667129203403519,"1.0,1.0,1.0","0.563,0.249,1.0",0.396
60472,"ENSG00000263528.8","IKBKE","chr1","+",206493265,206493378,206493022,206493119,206493919,206493991,60472,"17,26,52","0,0,0","12,36,24","5,6,0",262,149,5.31404863069e-06,0.000667129203403519,"1.0,1.0,1.0","0.577,0.773,1.0",0.217
13317,"ENSG00000105483.18","CARD8","chr19","-",48223718,48223868,48221729,48221855,48230437,48230498,13317,"0,2,0","3,8,10","8,9,2","3,5,7",299,149,5.34160041632e-06,0.000668251169543271,"0.0,0.111,0.0","0.571,0.473,0.125",-0.353
71152,"ENSG00000150722.11","PPP1R1C","chr2","+",181987838,181987899,181975218,181975264,182023821,182023913,71152,"18,17,18","5,5,6","5,14,10","0,0,1",210,149,5.35720395356e-06,0.000669141092868196,"0.719,0.707,0.68","1.0,1.0,0.876",-0.257
