"ID","GeneID","geneSymbol","chr","strand","longExonStart_0base","longExonEnd","shortES","shortEE","flankingES","flankingEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference"
13729,"ENSG00000151150.22","ANK3","chr10","-",60042671,60042759,60042671,60042756,60055657,60056036,13729,"7,27,18","0,0,0","8,18,4","1,2,5",152,149,7.88315868548e-05,0.00408670112763179,"1.0,1.0,1.0","0.887,0.898,0.44",0.258
11135,"ENSG00000112365.6","ZBTB24","chr6","-",109476174,109476258,109476174,109476253,109476762,109476930,11135,"19,17,31","0,0,0","13,31,30","3,3,4",154,149,8.07534963804e-05,0.00413929719648747,"1.0,1.0,1.0","0.807,0.909,0.879",0.135
12472,"ENSG00000012232.10","EXTL3","chr8","+",28637301,28637429,28637336,28637429,28622760,28622810,12472,"5,0,1","5,3,1","1,6,2","0,1,1",184,149,8.06454592095e-05,0.00413929719648747,"0.447,0.0,0.447","1.0,0.829,0.618",-0.518
14085,"ENSG00000130640.15","TUBGCP2","chr10","-",133295544,133295911,133295544,133295864,133297951,133298111,14085,"2,0,0","1,1,1","0,1,3","1,0,0",196,149,8.26787743797e-05,0.0042143080303932,"0.603,0.0,0.0","0.0,1.0,1.0",-0.466
11888,"ENSG00000106290.16","TAF6","chr7","-",100113348,100113769,100113348,100113405,100113867,100113954,11888,"238,269,347","14,20,22","346,315,294","8,15,0",513,149,8.56985510221e-05,0.004343964330698,"0.832,0.796,0.821","0.926,0.859,1.0",-0.112
289,"ENSG00000100288.20","CHKB","chr22","-",50579726,50579830,50579726,50579802,50579973,50580082,289,"47,65,92","1,6,9","54,60,46","19,12,10",177,149,8.65059054276e-05,0.00436066232663769,"0.975,0.901,0.896","0.705,0.808,0.795",0.155
15381,"ENSG00000181852.18","RNF41","chr12","-",56212995,56213138,56212995,56213077,56213957,56214070,15381,"27,32,56","0,0,0","24,61,31","7,2,1",210,149,8.70127134743e-05,0.00436210987768963,"1.0,1.0,1.0","0.709,0.956,0.957",0.126
5743,"ENSG00000132466.20","ANKRD17","chr4","-",73135116,73135265,73135116,73135262,73139530,73140283,5743,"76,74,81","17,25,23","107,99,54","10,8,10",152,149,8.94945905989e-05,0.00446201445149925,"0.814,0.744,0.775","0.913,0.924,0.841",-0.115
10613,"ENSG00000240476.2","LINC00973","chr3","+",98981253,98981386,98981309,98981386,98967108,98967317,10613,"12,19,17","0,1,0","10,19,16","2,0,8",205,149,9.18663675086e-05,0.00455537357145906,"1.0,0.932,1.0","0.784,1.0,0.592",0.185
7364,"ENSG00000134686.21","PHC2","chr1","-",33368535,33368688,33368535,33368622,33370420,33370585,7364,"23,22,36","103,97,112","41,56,44","99,96,78",215,149,9.8517335778e-05,0.00465736876496618,"0.134,0.136,0.182","0.223,0.288,0.281",-0.113
2992,"ENSG00000172575.14","RASGRP1","chr15","-",38498793,38499184,38498793,38498946,38500102,38500139,2992,"0,0,1","3,3,1","5,1,6","3,1,8",387,149,0.000101854048779,0.00476572482594665,"0.0,0.0,0.278","0.391,0.278,0.224",-0.205
9360,"ENSG00000290571.1","GOLGA2P5","chr12","-",100157164,100157445,100157164,100157256,100157527,100157739,9360,"9,10,3","1,12,6","5,16,3","1,0,1",338,149,0.000102860749138,0.004788272832322,"0.799,0.269,0.181","0.688,1.0,0.569",-0.336
8907,"ENSG00000117640.18","MTFR1L","chr1","+",25823239,25823439,25823345,25823439,25823018,25823128,8907,"8,5,12","2,5,0","6,9,7","0,0,0",255,149,0.000104319742302,0.00483153973991598,"0.7,0.369,1.0","1.0,1.0,1.0",-0.31
13874,"ENSG00000158636.17","EMSY","chr11","+",76542167,76542367,76542215,76542367,76539598,76539640,13874,"10,3,5","28,29,23","0,1,2","22,26,23",197,149,0.000105112483678,0.00484366818726299,"0.213,0.073,0.141","0.0,0.028,0.062",0.112
292,"ENSG00000254413.8","CHKB-CPT1B","chr22","-",50576535,50576637,50576535,50576593,50576856,50577034,292,"6,18,16","8,0,4","16,8,5","1,0,0",193,149,0.000114914535511,0.00521631951244957,"0.367,1.0,0.755","0.925,1.0,1.0",-0.268
9140,"ENSG00000144895.12","EIF2A","chr3","+",150568012,150568046,150568016,150568046,150567901,150567929,9140,"3,9,0","10,12,8","1,0,0","2,9,17",153,149,0.00011993664293,0.00533805819557717,"0.226,0.422,0.0","0.327,0.0,0.0",0.107
13911,"ENSG00000235823.5","OLMALINC","chr10","+",100380894,100381109,100380982,100381109,100373899,100374080,13911,"3,1,7","0,0,1","5,10,3","0,18,1",237,149,0.000126440098133,0.00552334228243715,"1.0,1.0,0.815","1.0,0.259,0.654",0.301
1726,"ENSG00000154240.18","CEP112","chr17","-",66096250,66096331,66096250,66096328,66096584,66096632,1726,"0,2,8","7,6,11","8,2,2","0,3,0",152,149,0.000128832426537,0.00557928915502832,"0.0,0.246,0.416","1.0,0.395,1.0",-0.578
7130,"ENSG00000196557.14","CACNA1H","chr16","+",1195431,1195565,1195470,1195565,1194971,1195083,7130,"28,44,32","2,0,0","22,75,22","7,8,0",188,149,0.000129624011434,0.00557928915502832,"0.917,1.0,1.0","0.714,0.881,1.0",0.107
10750,"ENSG00000114923.17","SLC4A3","chr2","+",219633865,219633979,219633879,219633979,219633273,219633457,10750,"2,0,0","21,37,19","8,1,5","30,33,24",163,149,0.00013075151414,0.00557928915502832,"0.08,0.0,0.0","0.196,0.027,0.16",-0.101
3427,"ENSG00000204387.14","SNHG32","chr6","+",31836294,31836517,31836298,31836517,31835410,31835451,3427,"13,19,29","25,20,20","11,13,11","43,49,35",153,149,0.000135429635824,0.00574725580120082,"0.336,0.481,0.585","0.199,0.205,0.234",0.255
7716,"ENSG00000142611.17","PRDM16","chr1","+",3414559,3414647,3414562,3414647,3411383,3412800,7716,"15,5,4","2,1,0","8,13,6","9,6,4",152,149,0.000136378184922,0.00574928798291101,"0.88,0.831,1.0","0.466,0.68,0.595",0.323
10670,"ENSG00000198791.12","CNOT7","chr8","-",17243441,17243622,17243441,17243545,17245035,17245247,10670,"3,6,6","2,1,5","10,11,6","2,0,0",226,149,0.000142441757916,0.00583327623172967,"0.497,0.798,0.442","0.767,1.0,1.0",-0.343
11162,"ENSG00000125843.11","AP5S1","chr20","+",3823870,3825302,3823874,3825302,3822101,3822293,11162,"40,39,76","2,1,2","35,81,64","13,3,10",153,149,0.000152849312727,0.00617078375805818,"0.951,0.974,0.974","0.724,0.963,0.862",0.117
15941,"ENSG00000092199.19","HNRNPC","chr14","-",21263310,21263582,21263310,21263336,21268622,21268668,15941,"123,131,128","105,82,93","128,119,133","154,180,129",395,149,0.000153848876147,0.0061837759734151,"0.306,0.376,0.342","0.239,0.2,0.28",0.102
6252,"ENSG00000188004.11","SNHG28","chr1","-",159837916,159840866,159837916,159838027,159841125,159841235,6252,"5,4,4","1,0,2","5,14,8","1,0,0",2988,149,0.000161489836236,0.00639535123149952,"0.2,1.0,0.091","0.2,1.0,1.0",-0.303
10710,"ENSG00000116141.17","MARK1","chr1","+",220653097,220653352,220653100,220653352,220651985,220652150,10710,"0,0,1","12,10,28","5,2,2","15,22,12",152,149,0.000165324332989,0.00644686457805509,"0.0,0.0,0.034","0.246,0.082,0.14",-0.145
14951,"ENSG00000130038.10","CRACR2A","chr12","-",3638123,3638457,3638123,3638454,3641731,3641838,14951,"14,15,19","1,0,0","26,22,23","2,7,2",152,149,0.000164682711185,0.00644686457805509,"0.932,1.0,1.0","0.927,0.755,0.919",0.11
9084,"ENSG00000117616.18","RSRP1","chr1","-",25243549,25244224,25243549,25243633,25245149,25245301,9084,"185,139,198","27,15,33","94,109,84","27,35,24",740,149,0.000170892184452,0.00660686563957647,"0.58,0.651,0.547","0.412,0.385,0.413",0.189
12170,"ENSG00000142784.16","WDTC1","chr1","+",27303620,27305193,27305000,27305193,27301225,27301461,12170,"130,143,196","1,0,0","188,158,128","0,10,1",1529,149,0.000173545180433,0.00668112331759786,"0.927,1.0,1.0","1.0,0.606,0.926",0.132
10618,"ENSG00000013441.17","CLK1","chr2","-",200856890,200857884,200856890,200856985,200857972,200858089,10618,"228,143,237","2,0,0","193,171,169","6,1,4",1048,149,0.000190273793146,0.00720356053387595,"0.942,1.0,1.0","0.821,0.96,0.857",0.101
7270,"ENSG00000154309.9","DISP1","chr1","+",222836995,222837380,222837218,222837380,222835118,222835215,7270,"54,54,82","3,0,0","84,46,67","8,3,4",372,149,0.000202232785038,0.00750069890523054,"0.878,1.0,1.0","0.808,0.86,0.87",0.113
11414,"ENSG00000164855.16","TMEM184A","chr7","-",1548518,1549945,1548518,1548688,1550122,1550198,11414,"45,32,31","2,0,0","63,52,34","6,6,1",1406,149,0.000201459027898,0.00750069890523054,"0.705,1.0,1.0","0.527,0.479,0.783",0.305
15872,"ENSG00000198561.16","CTNND1","chr11","+",57791384,57791673,57791491,57791673,57761801,57762119,15872,"11,10,6","2,9,0","9,14,3","0,0,1",256,149,0.000201574953493,0.00750069890523054,"0.762,0.393,1.0","1.0,1.0,0.636",-0.16
7986,"ENSG00000178752.16","ERFE","chr2","+",238167871,238168875,238168370,238168875,238165605,238165684,7986,"141,141,159","7,3,5","153,200,122","16,18,12",648,149,0.000204647923237,0.00755954514823639,"0.822,0.915,0.88","0.687,0.719,0.7",0.17
12067,"ENSG00000291071.1","FAM86JP","chr3","+",125918692,125918926,125918863,125918926,125916614,125916817,12067,"22,7,12","5,13,7","4,5,1","15,15,10",320,149,0.000208351510716,0.00757370192738161,"0.672,0.2,0.444","0.11,0.134,0.044",0.343
15755,"ENSG00000120699.14","EXOSC8","chr13","+",37004476,37004561,37004515,37004561,37003494,37003517,15755,"0,6,11","3,9,9","0,2,0","4,10,4",188,149,0.000207772201003,0.00757370192738161,"0.0,0.346,0.492","0.0,0.137,0.0",0.234
4017,"ENSG00000086189.11","DIMT1","chr5","-",62390875,62392234,62390875,62390982,62392925,62392990,4017,"187,236,197","1,2,0","177,294,167","4,5,6",1401,149,0.000210083909963,0.00758264018709893,"0.952,0.926,1.0","0.825,0.862,0.747",0.148
6588,"ENSG00000001631.17","KRIT1","chr7","-",92244901,92245171,92244901,92245134,92245789,92245877,6588,"23,30,3","4,8,9","7,19,20","0,3,0",186,149,0.000219114946502,0.00774885570497771,"0.822,0.75,0.211","1.0,0.835,1.0",-0.351
1086,"ENSG00000012124.17","CD22","chr19","+",35331905,35332074,35332018,35332074,35329186,35329230,1086,"1,2,0","6,9,3","4,6,6","7,6,2",262,149,0.000235408601017,0.00826103106030426,"0.087,0.112,0.0","0.245,0.363,0.63",-0.346
2432,"ENSG00000196118.12","CFAP119","chr16","-",30760283,30760668,30760283,30760453,30761197,30761229,2432,"23,30,55","0,0,0","45,51,38","0,10,0",364,149,0.000239413560621,0.00836938439504216,"1.0,1.0,1.0","1.0,0.676,1.0",0.108
4825,"ENSG00000126254.12","RBM42","chr19","+",35633076,35633252,35633100,35633252,35631330,35631405,4825,"18,36,30","9,0,0","15,56,25","19,16,14",173,149,0.000246213660207,0.00857424975468957,"0.633,1.0,1.0","0.405,0.751,0.606",0.29
15024,"ENSG00000111752.11","PHC1","chr12","+",8922632,8922788,8922656,8922788,8921600,8921750,15024,"25,26,33","3,3,3","31,25,15","0,0,0",173,149,0.000255027385975,0.00878064101749396,"0.878,0.882,0.905","1.0,1.0,1.0",-0.112
6253,"ENSG00000188004.11","SNHG28","chr1","-",159837916,159840881,159837916,159838027,159841125,159841235,6253,"1,3,2","1,0,2","4,8,6","1,0,0",3003,149,0.000265537405722,0.00904016152913257,"0.047,1.0,0.047","0.166,1.0,1.0",-0.357
15616,"ENSG00000089159.17","PXN","chr12","-",120216272,120217116,120216272,120216581,120221622,120221758,15616,"21,16,23","0,1,2","26,26,13","10,3,7",684,149,0.000272940770656,0.0092576639087931,"1.0,0.777,0.715","0.362,0.654,0.288",0.396
9935,"ENSG00000115486.13","GGCX","chr2","-",85551811,85552567,85551811,85551981,85552938,85553070,9935,"29,72,44","1,3,6","50,50,43","2,0,0",735,149,0.000277212721944,0.00936773657413724,"0.855,0.83,0.598","0.835,1.0,1.0",-0.184
7202,"ENSG00000145247.12","OCIAD2","chr4","-",48892771,48894053,48892771,48892889,48899828,48899925,7202,"4,8,2","1,0,0","11,19,17","3,5,2",1313,149,0.000279954894305,0.00942549245623181,"0.312,1.0,1.0","0.294,0.301,0.491",0.409
13118,"ENSG00000153234.16","NR4A2","chr2","-",156326149,156326274,156326149,156326207,156326717,156326920,13118,"14,15,45","7,4,4","10,20,14","8,20,13",216,149,0.000282464898299,0.00947503577970616,"0.58,0.721,0.886","0.463,0.408,0.426",0.297
15528,"ENSG00000177054.14","ZDHHC13","chr11","+",19166301,19170568,19170410,19170568,19165051,19165145,15528,"84,80,101","5,0,0","49,88,54","4,7,16",4258,149,0.000284869717325,0.00952070073579963,"0.37,1.0,1.0","0.3,0.306,0.106",0.553
11660,"ENSG00000146733.14","PSPH","chr7","-",56033960,56034106,56033960,56034103,56051313,56051467,11660,"0,0,5","2,10,0","3,1,1","0,0,2",152,149,0.000292128869547,0.00965718770198126,"0.0,0.0,1.0","1.0,1.0,0.329",-0.443
7198,"ENSG00000293427.1","ENSG00000293427","chr22","-",21476001,21476764,21476001,21476160,21477789,21477915,7198,"36,39,62","3,2,6","70,81,47","0,3,0",753,149,0.00029537219804,0.00972915499970022,"0.704,0.794,0.672","1.0,0.842,1.0",-0.224
8270,"ENSG00000125967.17","NECAB3","chr20","-",33659884,33660058,33659884,33659998,33660258,33660395,8270,"7,4,3","2,6,0","2,9,2","0,0,1",209,149,0.000304268954319,0.00988272012267065,"0.714,0.322,1.0","1.0,1.0,0.588",-0.184
10853,"ENSG00000260691.8","ANKRD20A1","chr9","+",67884485,67884570,67884488,67884570,67880475,67880545,10853,"3,2,0","0,0,3","1,1,0","10,0,1",152,149,0.000304366983173,0.00988272012267065,"1.0,1.0,0.0","0.089,1.0,0.0",0.304
3283,"ENSG00000072110.16","ACTN1","chr14","-",68877081,68878523,68877081,68877240,68879961,68880108,3283,"11,6,17","3,3,0","3,12,16","1,0,0",1432,149,0.000323044622357,0.010341961875036,"0.276,0.172,1.0","0.238,1.0,1.0",-0.263
1261,"ENSG00000205517.13","RGL3","chr19","-",11402010,11402541,11402010,11402132,11402649,11402706,1261,"71,77,80","0,0,0","57,60,73","0,11,0",558,149,0.000329587338947,0.0104778915698691,"1.0,1.0,1.0","1.0,0.593,1.0",0.136
13431,"ENSG00000165699.16","TSC1","chr9","-",132903650,132903817,132903650,132903802,132904410,132904454,13431,"47,41,24","1,0,0","28,29,18","0,5,4",164,149,0.000328693524455,0.0104778915698691,"0.977,1.0,1.0","1.0,0.84,0.803",0.111
11077,"ENSG00000255717.9","SNHG1","chr11","-",62851987,62852666,62851987,62852658,62852810,62852839,11077,"75,166,83","11,15,9","51,58,104","14,32,17",157,149,0.000335419692841,0.0105167329123068,"0.866,0.913,0.897","0.776,0.632,0.853",0.138
11517,"ENSG00000164953.17","TMEM67","chr8","+",93785732,93786346,93786267,93786346,93785221,93785378,11517,"17,31,31","1,2,4","28,8,10","0,0,1",684,149,0.000356391237725,0.011060250520418,"0.787,0.772,0.628","1.0,1.0,0.685",-0.166
14817,"ENSG00000172269.20","DPAGT1","chr11","-",119097463,119098043,119097463,119097551,119098402,119098487,14817,"63,77,75","0,0,1","82,87,96","3,6,0",641,149,0.000362694316941,0.0111421648073053,"1.0,1.0,0.946","0.864,0.771,1.0",0.104
1965,"ENSG00000141646.17","SMAD4","chr18","+",51077251,51077419,51077306,51077419,51076637,51076776,1965,"12,0,0","10,22,3","13,6,3","5,2,3",204,149,0.000377253268048,0.0114839194535582,"0.467,0.0,0.0","0.655,0.687,0.422",-0.432
13888,"ENSG00000107443.16","CCNJ","chr10","+",96057087,96057247,96057120,96057247,96056700,96057000,13888,"32,45,32","0,3,0","38,33,23","3,14,0",182,149,0.000377594896544,0.0114839194535582,"1.0,0.925,1.0","0.912,0.659,1.0",0.118
15783,"ENSG00000123191.18","ATP7B","chr13","-",51958310,51958544,51958310,51958400,51960147,51960322,15783,"25,15,26","2,6,0","22,23,56","1,0,0",293,149,0.000389171017352,0.011796665655547,"0.864,0.56,1.0","0.918,1.0,1.0",-0.165
15850,"ENSG00000174405.15","LIG4","chr13","-",108214537,108214718,108214537,108214610,108215483,108215743,15850,"6,7,3","4,8,15","0,2,0","6,5,2",257,149,0.000399156081179,0.0120592718035669,"0.465,0.337,0.104","0.0,0.188,0.0",0.239
10754,"ENSG00000162601.12","MYSM1","chr1","-",58689037,58690249,58689037,58689116,58690339,58690417,10754,"70,99,38","2,0,0","34,37,38","2,4,0",1282,149,0.000423225251129,0.012660679315741,"0.803,1.0,1.0","0.664,0.518,1.0",0.207
5727,"ENSG00000161013.17","MGAT4B","chr5","-",179798512,179798591,179798512,179798576,179799064,179799121,5727,"69,46,75","2,2,7","67,99,47","13,7,22",164,149,0.000450856303071,0.0132697190619994,"0.969,0.954,0.907","0.824,0.928,0.66",0.139
10112,"ENSG00000163703.20","CRELD1","chr3","+",9943674,9944095,9943901,9944095,9943076,9943515,10112,"6,12,10","4,18,26","9,27,18","5,10,2",376,149,0.000465199819485,0.0136041126698113,"0.373,0.209,0.132","0.416,0.517,0.781",-0.333
7269,"ENSG00000154309.9","DISP1","chr1","+",222836922,222837384,222837218,222837384,222835118,222835215,7269,"32,31,51","3,0,0","49,35,46","8,3,4",445,149,0.00047824220657,0.0138523234690307,"0.781,1.0,1.0","0.672,0.796,0.794",0.173
7945,"ENSG00000104814.13","MAP4K1","chr19","-",38595484,38595729,38595484,38595555,38596311,38596486,7945,"7,14,15","0,1,0","9,23,14","7,2,0",323,149,0.000481824431571,0.0139119180811829,"1.0,0.866,1.0","0.372,0.841,1.0",0.218
6639,"ENSG00000125457.15","MIF4GD","chr17","-",75269346,75269469,75269346,75269448,75270113,75270245,6639,"52,77,65","6,12,19","65,54,66","4,7,0",170,149,0.000486791090127,0.0139231407721591,"0.884,0.849,0.75","0.934,0.871,1.0",-0.107
15767,"ENSG00000170919.16","TPT1-AS1","chr13","+",45369958,45370182,45370079,45370182,45344328,45344446,15767,"27,54,52","5,5,2","35,30,27","0,1,1",270,149,0.000509315305894,0.0144766132429186,"0.749,0.856,0.935","1.0,0.943,0.937",-0.113
8280,"ENSG00000198929.13","NOS1AP","chr1","+",162300632,162300706,162300647,162300706,162287343,162287436,8280,"29,18,26","25,19,29","11,24,11","29,51,28",164,149,0.00053957577944,0.0151947204062054,"0.513,0.463,0.449","0.256,0.299,0.263",0.202
1414,"ENSG00000099622.14","CIRBP","chr19","+",1270866,1271036,1270927,1271036,1267228,1267292,1414,"22,34,45","1,0,2","61,47,48","0,17,6",210,149,0.000588656336259,0.0163249252645201,"0.94,1.0,0.941","1.0,0.662,0.85",0.123
3890,"ENSG00000113597.18","TRAPPC13","chr5","+",65664233,65664384,65664236,65664384,65662049,65662150,3890,"29,31,23","21,23,31","16,10,12","32,46,21",152,149,0.000615375343159,0.016747004587398,"0.575,0.569,0.421","0.329,0.176,0.359",0.234
8991,"ENSG00000163874.11","ZC3H12A","chr1","+",37482349,37482540,37482433,37482540,37481600,37481835,8991,"1,1,12","15,32,17","1,2,1","34,52,35",233,149,0.000619818343533,0.016747004587398,"0.041,0.02,0.311","0.018,0.024,0.018",0.104
13013,"ENSG00000137074.20","APTX","chr9","-",32987543,32988129,32987543,32987846,32989758,32989895,13013,"151,185,179","11,10,13","139,204,108","18,26,21",432,149,0.000619009318177,0.016747004587398,"0.826,0.865,0.826","0.727,0.73,0.639",0.14
14371,"ENSG00000149187.19","CELF1","chr11","-",47476845,47476959,47476845,47476956,47477296,47477425,14371,"51,70,36","130,100,120","88,122,61","111,132,71",152,149,0.000613558844331,0.016747004587398,"0.278,0.407,0.227","0.437,0.475,0.457",-0.152
6038,"ENSG00000125846.17","ZNF133","chr20","+",18305667,18305807,18305680,18305807,18305007,18305178,6038,"2,3,0","10,16,4","2,3,1","4,0,0",162,149,0.00063074999823,0.0168767242928168,"0.155,0.147,0.0","0.315,1.0,1.0",-0.671
1107,"ENSG00000089335.22","ZNF302","chr19","+",34683151,34683238,34683154,34683238,34682776,34682897,1107,"2,0,1","20,21,18","4,4,2","16,12,6",152,149,0.000644483057172,0.0171436251126453,"0.089,0.0,0.052","0.197,0.246,0.246",-0.183
5490,"ENSG00000130332.15","LSM7","chr19","-",2324124,2324196,2324124,2324192,2324741,2324906,5490,"21,14,26","3,2,8","49,48,29","0,2,3",153,149,0.000671976895238,0.0177713541801493,"0.872,0.872,0.76","1.0,0.959,0.904",-0.12
13083,"ENSG00000106714.18","CNTNAP3","chr9","-",39132931,39133135,39132931,39133132,39140518,39140638,13083,"0,0,1","10,11,5","2,5,0","4,5,9",152,149,0.000684672564419,0.0178484356507399,"0.0,0.0,0.164","0.329,0.495,0.0",-0.22
15766,"ENSG00000170919.16","TPT1-AS1","chr13","+",45344328,45344446,45344378,45344446,45341606,45341630,15766,"3,7,12","3,2,1","23,9,8","0,0,1",199,149,0.000691403695863,0.0179725564702393,"0.428,0.724,0.9","1.0,1.0,0.857",-0.268
13119,"ENSG00000153234.16","NR4A2","chr2","-",156326149,156326328,156326149,156326207,156326717,156326920,13119,"53,50,77","7,4,4","56,68,38","8,20,13",270,149,0.000716363423825,0.0185684655652821,"0.807,0.873,0.914","0.794,0.652,0.617",0.177
1223,"ENSG00000141867.19","BRD4","chr19","-",15268153,15268281,15268153,15268240,15268904,15269042,1223,"1,0,6","2,3,0","5,6,1","0,0,1",190,149,0.000728380205203,0.0187372977079961,"0.282,0.0,1.0","1.0,1.0,0.44",-0.386
8362,"ENSG00000142621.21","FHAD1","chr1","+",15374501,15374631,15374504,15374631,15369369,15369502,8362,"3,4,17","5,3,5","6,3,4","0,2,0",152,149,0.00073051460944,0.0187372977079961,"0.37,0.567,0.769","1.0,0.595,1.0",-0.296
15385,"ENSG00000135473.16","PAN2","chr12","-",56324036,56324185,56324036,56324182,56324293,56324493,15385,"8,13,14","5,1,0","8,12,9","10,5,14",152,149,0.000766492963511,0.0194804506938005,"0.611,0.927,1.0","0.44,0.702,0.387",0.336
10155,"ENSG00000125637.16","PSD4","chr2","+",113197746,113197913,113197749,113197913,113197563,113197634,10155,"2,6,2","13,4,10","7,4,7","0,2,4",152,149,0.000788855480597,0.0197733994641951,"0.131,0.595,0.164","1.0,0.662,0.632",-0.468
10408,"ENSG00000139746.16","RBM26","chr13","-",79365577,79365733,79365577,79365718,79366054,79366195,10408,"25,36,12","55,43,30","18,11,11","47,69,68",164,149,0.000791886579049,0.0197949949239536,"0.292,0.432,0.267","0.258,0.127,0.128",0.159
2299,"ENSG00000103066.13","PLA2G15","chr16","+",68255705,68255990,68255890,68255990,68255281,68255380,2299,"12,12,13","4,12,12","25,33,22","7,4,3",334,149,0.000810543451298,0.020150949454068,"0.572,0.308,0.326","0.614,0.786,0.766",-0.32
15356,"ENSG00000120093.12","HOXB3","chr17","-",48552026,48552632,48552026,48552487,48555530,48555618,15356,"20,27,36","0,9,0","42,29,23","0,0,0",294,149,0.000809353662687,0.020150949454068,"1.0,0.603,1.0","1.0,1.0,1.0",-0.132
8346,"ENSG00000177989.14","CIMAP1B","chr22","-",50531190,50531341,50531190,50531295,50531569,50531773,8346,"0,2,0","17,2,6","6,1,1","2,0,3",195,149,0.000818167558664,0.0202852195794846,"0.0,0.433,0.0","0.696,1.0,0.203",-0.489
2707,"ENSG00000185043.13","CIB1","chr15","-",90232218,90232447,90232218,90232327,90233142,90233208,2707,"31,22,33","15,7,2","18,21,31","28,23,19",269,149,0.000883633181282,0.0216146625898578,"0.534,0.635,0.901","0.263,0.336,0.475",0.332
8818,"ENSG00000196369.12","SRGAP2B","chr1","-",144897115,144897340,144897115,144897337,144905090,144905219,8818,"21,46,41","13,27,18","17,18,8","23,23,10",152,149,0.000887945899775,0.0216620812554735,"0.613,0.625,0.691","0.42,0.434,0.44",0.212
3431,"ENSG00000204410.16","MSH5","chr6","+",31743903,31744299,31744189,31744299,31743107,31743170,3431,"32,60,59","4,4,1","44,74,35","0,2,0",435,149,0.000891740807518,0.0216966483407846,"0.733,0.837,0.953","1.0,0.927,1.0",-0.135
10553,"ENSG00000286053.2","ASDURF","chr2","+",189665356,189665451,189665421,189665451,189663900,189663954,10553,"43,61,26","36,23,16","20,17,12","40,28,11",214,149,0.000930976568994,0.0224715085066171,"0.454,0.649,0.531","0.258,0.297,0.432",0.216
5791,"ENSG00000227354.7","RBM26-AS1","chr13","+",79415110,79415364,79415261,79415364,79412681,79412907,5791,"11,2,19","0,20,0","3,3,0","11,2,7",300,149,0.000939846110713,0.0226257411982729,"1.0,0.047,1.0","0.119,0.427,0.0",0.5
7996,"ENSG00000184465.16","WDR27","chr6","-",169663562,169663878,169663562,169663649,169664165,169664286,7996,"18,23,5","4,0,2","11,6,10","0,0,0",378,149,0.000951705656141,0.0227491847145122,"0.639,1.0,0.496","1.0,1.0,1.0",-0.288
12105,"ENSG00000068024.18","HDAC4","chr2","-",239126455,239126694,239126455,239126679,239134244,239134443,12105,"19,34,28","15,17,36","42,33,22","16,8,4",164,149,0.000952453809836,0.0227491847145122,"0.535,0.645,0.414","0.705,0.789,0.833",-0.244
8632,"ENSG00000277363.5","SRCIN1","chr17","-",38568210,38568234,38568210,38568231,38572667,38572820,8632,"3,15,6","0,3,4","7,9,2","0,1,0",152,149,0.000987089677435,0.0231605108266555,"1.0,0.831,0.595","1.0,0.898,1.0",-0.157
15287,"ENSG00000123349.15","PFDN5","chr12","+",53296429,53297924,53297849,53297924,53295838,53295941,15287,"84,83,128","46,63,33","86,62,52","0,46,0",1569,149,0.000984838915551,0.0231605108266555,"0.148,0.111,0.269","1.0,0.113,1.0",-0.528
7015,"ENSG00000105223.21","PLD3","chr19","+",40366383,40366510,40366418,40366510,40365552,40365585,7015,"6,8,14","23,43,41","20,28,13","23,51,22",184,149,0.00101291681713,0.02363645278643,"0.174,0.131,0.217","0.413,0.308,0.324",-0.174
15596,"ENSG00000111344.12","RASAL1","chr12","-",113119127,113119443,113119127,113119259,113121508,113121638,15596,"23,33,41","0,0,0","18,48,35","2,4,1",333,149,0.00107766173714,0.02476436094901,"1.0,1.0,1.0","0.801,0.843,0.94",0.139
6047,"ENSG00000291176.1","ENSG00000291176","chr2","+",96019200,96019700,96019480,96019700,96015108,96015325,6047,"16,67,38","1,0,1","20,29,20","1,2,4",429,149,0.0010928691492,0.0249536097708293,"0.847,1.0,0.93","0.874,0.834,0.635",0.145
2392,"ENSG00000126246.10","IGFLR1","chr19","-",35739709,35740088,35739709,35740086,35740379,35740564,2392,"27,31,24","1,0,5","27,18,21","2,13,8",151,149,0.00112280529532,0.0254837699365664,"0.964,1.0,0.826","0.93,0.577,0.721",0.187
2733,"ENSG00000291210.1","ENSG00000291210","chr15","-",85207467,85207618,85207467,85207605,85209024,85209115,2733,"8,2,2","0,2,0","2,1,6","6,0,6",162,149,0.00115502743013,0.0260853224566983,"1.0,0.479,1.0","0.235,1.0,0.479",0.255
5013,"ENSG00000070831.18","CDC42","chr1","+",22078705,22078881,22078746,22078881,22078428,22078583,5013,"1,8,5","0,2,2","1,0,1","0,6,1",190,149,0.0011861075765,0.0265246213921225,"1.0,0.758,0.662","1.0,0.0,0.44",0.327
9541,"ENSG00000138002.16","IFT172","chr2","-",27470927,27471095,27470927,27471029,27472249,27472362,9541,"22,28,54","3,5,0","23,36,31","0,0,0",215,149,0.00119605427652,0.0266816606820745,"0.836,0.795,1.0","1.0,1.0,1.0",-0.123
